Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Roberto Campos","DET","RF","A","18.8888888",,18,"20 / 50","25 / 55","55 / 60","45 / 40","40",155,0.31612903,0.44117647,0.21323529,0.10967742,0.26451613,98.48630169921238,"sa3014683"
"Arol Vera","LAA","SS","A","19.6444444",,3,"20 / 50","20 / 40","45 / 55","50 / 50","45",254,0.37007874,0.40088106,0.0969163,0.07086614,0.23228346,107.51405612496033,"sa3014687"
"Adrian Placencia","LAA","2B","A","18.9222222",,8,"20 / 55","20 / 40","40 / 50","50 / 50","40+",175,0.32571429,0.34265734,0.16783217,0.16,0.28,83.6475645748181,"sa3014688"
"Hedbert Perez","MIL","LF","A","19.0833333",,14,"20 / 40","25 / 55","55 / 60","55 / 45","40+",200,0.33,0.45945946,0.18378378,0.045,0.295,106.13736254514968,"sa3014692"
"Emmanuel Rodriguez","MIN","CF","A","19.1777777",,25,"20 / 40","25 / 55","50 / 55","50 / 50","40",153,0.34640523,0.52380952,0.30952381,0.1503268,0.36601307,123.59420107276095,"sa3014693"
"Jasson Dominguez","NYY","CF","A","19.2416666",75,4,"20 / 50","20 / 60","60 / 60","60 / 55","50",241,0.3526971,0.37864078,0.1262136,0.1120332,0.30290456,103.64868124225617,"sa3014696"
"Robert Puason","OAK","SS","A","19.6472222",,26,"20 / 30","20 / 45","45 / 60","50 / 50","40",337,0.28228228,0.29139073,0.07615894,0.07121662,0.41246291,56.20673647547109,"sa3014697"
"Robert Hassell III","SDP","RF","A+","20.7194444",51,0,"35 / 55","30 / 45","45 / 50","55 / 55","50",516,0.39341085,0.46952596,0.16704289,0.12790698,0.19186047,130.36117696601687,"sa3014701"
"Reginald Preciado","CHC","3B","A","18.9666666",116,5,"20 / 40","20 / 60","45 / 60","40 / 40","50",154,0.38311688,0.5106383,0.17730497,0.07142857,0.22727273,131.54605220111546,"sa3014702"
"Ismael Mena","CHC","CF","CPX","19.4277777",,36,"25 / 55","20 / 40","40 / 50","60 / 60","40",178,0.28651685,0.29487179,0.07051282,0.08426966,0.25280899,56.422685264907074,"sa3014703"
"Aeverson Arteaga","SFG","SS","A","19.1333333",,12,"20 / 40","25 / 45","40 / 45","60 / 60","40+",229,0.36244541,0.495,0.205,0.10043668,0.30567686,120.31684494599494,"sa3014707"
"Rikelbin De Castro","TOR","SS","A","19.2805555",,7,"20 / 50","20 / 35","30 / 45","60 / 55","40+",156,0.37179487,0.3968254,0.15873016,0.15384615,0.25641026,110.94469464315753,"sa3014714"
"Estiven Machado","TOR","2B","A","19.5833333",,13,"25 / 60","20 / 30","30 / 40","55 / 55","40",1,1,1,0,0,0,455.7372441909444,"sa3014715"
"Michael Guldberg","OAK","CF","AA","22.8666666",,33,"35 / 50","30 / 40","40 / 40","60 / 60","40",206,0.34673367,0.41954023,0.16091954,0.08252427,0.17475728,112.43187880026727,"sa3014822"
"Matt Dyer","TBR","C","A+","23.8055555",,46,"20 / 30","30 / 40","55 / 55","55 / 55","35+",267,0.35205993,0.51948052,0.25974026,0.10861423,0.3071161,131.06360829076152,"sa3014883"
