Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Justin Topa","MIL","SIRP","MLB","31.1583333",,28,"70 / 70","60 / 60","","","30 / 30","35+",230.2,0.18731118,0.06143001,0.48090523,4.682081513652826,3.6530810587243883,"15145"
"Brent Honeywell Jr.","OAK","SP","MLB","27.0944444",,29,"50 / 50","","","60 / 60","60 / 60","40",497.2,0.26132404,0.05823793,0.39269406,3.0562607937921027,3.1039761272480395,"16466"
"Daniel Duarte","CIN","SIRP","MLB","25.4166666",,26,"60 / 60","60 / 60","","","40 / 40","40",142.2,0.21416804,0.07413509,0.4676259,3.532709677702724,3.3872150890516277,"17480"
"Julian Fernandez","COL","SIRP","AAA","26.4138888",,37,"70 / 70","","","45 / 45","20 / 20","35+",196.1,0.21621622,0.12220917,0.47663551,3.713072884853574,4.321949146533082,"18341"
"Kirby Snead","OAK","SIRP","MLB","27.575",,37,"45 / 45","55 / 55","","45 / 50","45 / 45","35+",236.1,0.24850895,0.09542744,0.55844156,2.856135463443115,3.499241605395959,"19179"
"A.J. Puk","OAK","SIRP","MLB","27.025",,22,"50 / 55","60 / 60","50 / 55","55 / 60","40 / 40","40",231.2,0.32,0.089,0.43639576,4.42877633424074,3.3235827203408155,"19343"
"Daulton Jefferies","OAK","SP","MLB","26.7555555",,7,"45 / 45","50 / 50","","60 / 60","60 / 60","45",176.1,0.25784447,0.0313779,0.44047619,3.9300574617910313,3.773334006738281,"19345"
"Jason Foley","DET","SIRP","AAA","26.5083333",,20,"60 / 60","45 / 45","","","40 / 40","40",124.1,0.23809524,0.09157509,0.54093567,3.6916890457980593,3.543530142057509,"19531"
"Jimmy Lambert","CHW","SP","AAA","27.4611111",,9,"45 / 45","50 / 55","45 / 45","50 / 50","45 / 45","40",414.2,0.23445522,0.08043354,0.4550173,4.275723105549439,3.6388007598681633,"19541"
"Sixto Sanchez","MIA","SP","AAA","23.7638888",83,0,"60 / 60","50 / 50","","60 / 70","50 / 55","50",335.1,0.22072072,0.04804805,0.49513514,2.5765402669621715,3.0190218235996222,"19680"
"Connor Seabold","BOS","SP","AAA","26.2777777",,7,"40 / 40","50 / 50","45 / 45","55 / 60","55 / 60","45",284,0.25086505,0.06401384,0.40740741,3.327463964675623,3.6730584570648706,"19695"
"Reiver Sanmartin","CIN","SP","AAA","26.0527777",,32,"30 / 30","45 / 45","","50 / 50","60 / 60","35+",427.2,0.22451253,0.04846797,0.52184466,3.219798173265592,3.0622350773678333,"19754"
"Bryan Baker","BAL","SIRP","MLB","27.4222222",,36,"60 / 60","40 / 40","","45 / 50","30 / 30","35+",249,0.26566885,0.10757717,0.43485086,3.1807234032197473,4.190354086998222,"19804"
"Alexander Wells","BAL","SP","MLB","25.1861111",,32,"30 / 30","45 / 45","50 / 50","40 / 45","55 / 70","40",533.2,0.19626168,0.03925234,0.39546599,2.8500953144709196,3.6135564391747614,"19845"
