"","Name","FV","tools","stats","position","Score"
"1","Grayson Rodriguez",4.55155399238252,1.99606995004279,-0.129058367667523,2,8.41856557475779
"2","Eury Perez",5.633808159397,0.292904079098146,-0.0796443078946231,2,7.84706793060052
"3","Corbin Carroll",3.32966637006093,1.97089140959382,1.31251717740952,1.1,7.71307495706427
"4","Gunnar Henderson",4.20454936210403,1.15072809703013,1.02882006386966,1.25,7.63409752300382
"5","Elly De La Cruz",3.32966637006093,1.24094575326072,0.948590734796332,1.75,7.26920285811799
"6","Daniel Espino",4.55155399238252,1.09150991272702,-0.592491029381719,2,7.05057287572782
"7","Francisco Alvarez",3.32966637006093,1.33133425859525,0.808547937722902,1.5,6.96954856637908
"8","Andrew Painter",4.55155399238252,0.50802053142821,-0.254504908447563,2,6.80506961536317
"9","Jordan Walker",3.32966637006093,1.69506698481159,0.573483424028638,1.1,6.69821677890116
"10","Cade Cavalli",3.46929982536804,1.07402484409808,-0.00243897192342104,2,6.54088569754269
"11","Brandon Pfaadt",3.46929982536804,0.590754670845974,0.0881977563752928,2,6.14825225258931
"12","Kyle Harrison",3.46929982536804,0.512156927102871,0.0755117497133218,2,6.05696850218423
"13","Noelvi Marte",3.32966637006093,0.565732404491335,0.382950742331311,1.75,6.02834951688358
"14","Jackson Chourio",3.32966637006093,1.07026739960908,0.523665052999535,1.1,6.02359882266955
"15","Jack Leiter",3.46929982536804,0.366504263458146,0.146117059786126,2,5.98192114861231
"16","Gabriel Moreno",3.32966637006093,1.31671781427991,-0.220598553388414,1.5,5.92578563095242
"17","Josh Jung",3.32966637006093,1.22412788873907,0.0793843949931386,1.25,5.88317865379314
"18","Mick Abel",3.46929982536804,0.385245017438424,0.00662499822658046,2,5.86116984103304
"19","Anthony Volpe",3.32966637006093,1.14536806074588,0.342208702845153,1,5.81724313365197
"20","Cole Winn",2.38704565835356,0.757637585517644,0.478203148696379,2,5.62288639256758
"21","James Wood",3.32966637006093,0.337441402872373,0.806266178798694,1.1,5.573373951732
"22","Bobby Miller",2.38704565835356,0.731118210045077,0.160575489396542,2,5.27873935779518
"23","Gordon Graceffo",2.38704565835356,0.871830062529951,-0.0291111793164164,2,5.22976454156709
"24","Endy Rodriguez",2.45478337801783,0.227996911068699,1.03471477728897,1.5,5.2174950663755
"25","Brandon Williamson",2.38704565835356,0.526716820157427,0.190724707094103,2,5.10448718560509
"26","Ken Waldichuk",2.38704565835356,0.651359765869282,0.0172437053550483,2,5.05564912957789
"27","Curtis Mead",2.45478337801783,0.905507338353899,0.515385536717826,1.1,4.97567625308956
"28","Diego Cartaya",2.45478337801783,0.146107897479008,0.845063792892067,1.5,4.94595506838891
"29","Matthew Liberatore",2.38704565835356,0.536537291819245,0.0206206211326282,2,4.94420357130543
"30","Brett Baty",1.57990038597473,1.25969130235251,0.837417148223286,1.25,4.92700883655053
"31","Shane Baz",2.38704565835356,0.972830942445876,-0.544755613429401,2,4.81512098737003
"32","Henry Davis",2.45478337801783,0.662504309576086,0.179285747265015,1.5,4.79657343485893
"33","Taj Bradley",3.46929982536804,-0.527923562751943,-0.158882533361929,2,4.78249372925417
"34","Owen White",2.38704565835356,0.487398320726221,-0.0946846486139233,2,4.77975933046585
"35","Gavin Stone",2.38704565835356,0.329225915310453,0.0368204187947492,2,4.75309199245876
"36","Ronny Mauricio",2.45478337801783,0.528893628372225,-0.0242646382189594,1.75,4.7094123681711
"37","Royce Lewis",1.57990038597473,0.863044778547827,0.488014780630293,1.75,4.68095994515285
"38","Jackson Holliday",2.45478337801783,-0.265968086225328,0.715564497836939,1.75,4.65437978962944
"39","Marco Luciano",2.45478337801783,0.304634487477764,0.127542160466537,1.75,4.63696002596213
"40","Logan Allen",2.38704565835356,0.0264032547899587,0.144331790268434,2,4.55778070341195
"41","Quinn Priester",2.38704565835356,0.157086424166931,-0.0930335823366707,2,4.45109850018382
"42","Oswald Peraza",1.57990038597473,1.07758640489038,0.0103255107722668,1.75,4.41781230163738
"43","Pete Crow-Armstrong",2.45478337801783,0.315602350799531,0.483596811303153,1.1,4.35398254012052
"44","Brooks Lee",2.45478337801783,0.183184598267703,-0.0680346642129725,1.75,4.31993331207256
"45","Jackson Jobe",2.38704565835356,0.17042428187249,-0.249414779150345,2,4.3080551610757
"46","DL Hall",3.46929982536804,0.721872502626128,0.105827224983094,0,4.29699955297726
"47","Marcelo Mayer",2.45478337801783,-0.770066797419506,0.793919508734187,1.75,4.22863608933251
"48","Tanner Bibee",2.38704565835356,0,-0.190545611061753,2,4.1965000472918
"49","Triston Casas",2.45478337801783,1.17405090748259,0.557474663776158,0,4.18630894927658
"50","Bo Naylor",1.57990038597473,0.201412539760405,0.871815781480277,1.5,4.15312870721542
"51","Dalton Rushing",0.705017393931637,0.112402460115143,1.76420956196789,1.5,4.08162941601467
"52","Ivan Herrera",1.57990038597473,1.02035687951389,-0.0890467448596504,1.5,4.01121052062897
"53","Masyn Winn",1.57990038597473,0.304208675347271,0.361282110050168,1.75,3.99539117137217
"54","Reese Olson",1.30479149133908,0.636824656118242,0.0493186680025176,2,3.99093481545984
"55","Logan O'Hoppe",1.57990038597473,-0.0576088009959506,0.964163076449045,1.5,3.98645466142783
"56","Alec Marsh",1.30479149133908,0.34014264975754,0.328355679600788,2,3.9732898206974
"57","Andre Jackson",1.30479149133908,0.3322608906504,0.333550368283208,2,3.97060275027268
"58","Brayan Rocchio",1.57990038597473,0.645775943397042,-0.0123850548741356,1.75,3.96329127449764
"59","Caleb Kilian",1.30479149133908,0.392024398525417,0.265998978484354,2,3.96281486834885
