Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Jairo Iriarte","SDP","MIRP","A","20.8333333",,20,"45 / 50","55 / 60","","50 / 55","30 / 40","35+",91.1,0.26650367,0.10268949,0.39330544,5.1240878765962625,5.137404739205411,"sa3010798"
"Edwin Jimenez","MIL","SP","A","20.8416666",,27,"30 / 45","","55 / 60","40 / 50","25 / 60","35+",113.2,0.21138211,0.08333333,0.375,4.750733562993791,4.6612725511799065,"sa3010800"
"Dylan Spacke","BOS","SIRP","AA","24.5944444",,60,"45 / 45","60 / 60","","40 / 45","50 / 50","35+",65.1,0.19933555,0.12956811,0.53723404,5.647959623372574,5.182576125435302,"sa3010812"
"Brandon Walter","BOS","MIRP","AAA","26.1027777",,10,"60 / 60","60 / 60","","50 / 55","40 / 50","45",57.2,0.32188841,0.03004292,0.54929577,3.5895951778436572,2.557242334634326,"sa3010826"
"Natanael Garabitos","SEA","SIRP","A","22.1972222",,27,"60 / 60","50 / 55","","","20 / 35","35+",44,0.28780488,0.17073171,0.32673267,5.113636363636363,5.9018486396832905,"sa3011099"
"Colin Peluse","OAK","MIRP","AAA","24.3444444",,12,"55 / 70","55 / 55","","40 / 45","35 / 45","40+",120.1,0.17647059,0.05502846,0.30632911,5.833795347123462,5.5697554471952575,"sa3011126"
"Antoine Kelly","TEX","SIRP","AA","22.8611111",,16,"60 / 60","60 / 70","","","30 / 40","40+",109.2,0.30168776,0.14978903,0.45041322,4.431610813789866,4.335574789172993,"sa3011135"
"Sandy Gaston","TBR","SIRP","A","20.8305555",,17,"70 / 80","","50 / 55","45 / 50","30 / 40","45",54.2,0.30196078,0.21960784,0.45217391,4.60975566866287,5.248434879004105,"sa3011136"
"Kolton Ingram","LAA","SIRP","AA","25.9833333",,27,"","","","","","40",60.2,0.30801688,0.07172996,0.47014925,2.670329446450584,3.568273408069796,"sa3011149"
"Seth Shuman","WSN","SP","A+","24.8722222",,25,"40 / 40","55 / 60","45 / 45","45 / 50","50 / 60","40",61.1,0.21235521,0.05405405,0.34078212,3.2282611372791075,4.849822068897765,"sa3011187"
"T.J. Sikkema","KCR","SP","AA","24.2222222",,12,"45 / 50","50 / 55","","40 / 50","45 / 60","40+",69,0.27946128,0.08080808,0.51149425,4.826086956521739,3.8879862905918636,"sa3011191"
"Gunner Mayer","PHI","SIRP","A","22.2166666",,34,"45 / 55","50 / 60","","30 / 45","30 / 50","35+",54,0.3173913,0.13043478,0.38135593,4.666666501834075,3.8841692785373274,"sa3011199"
"Nick Robertson","LAD","SIRP","AAA","24.2472222",,29,"70 / 70","50 / 50","","45 / 50","30 / 40","40",67,0.29292929,0.1010101,0.45783133,4.432835947089009,4.193687802358974,"sa3011248"
"Quinn Priester","PIT","SP","AAA","22.0833333",88,5,"50 / 50","","70 / 70","30 / 35","30 / 45","50",90.1,0.23607427,0.0795756,0.50612245,3.2878230546736686,4.037305147570443,"sa3011297"
