Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Peyton Graham","DET","SS","A","21.7194444",,4,"30 / 40","35 / 50","50 / 60","50 / 50","45+",113,0.34513274,0.37,0.1,0.08849558,0.25663717,107.56759173279895,"sa3019990"
"Jace Jung","DET","2B","A+","22.0305555",,7,"35 / 55","35 / 55","55 / 55","35 / 35","45",134,0.37313433,0.33333333,0.10185185,0.18656716,0.20895522,105.57982344923651,"sa3019992"
"Cayden Wallace","KCR","3B","A","21.1888888",,10,"30 / 40","30 / 55","50 / 55","50 / 50","40+",132,0.37878788,0.46551724,0.17241379,0.11363636,0.17424242,134.25075079967846,"sa3019996"
"Daniel Susac","OAK","C","A","21.4194444",,7,"30 / 40","35 / 55","60 / 70","35 / 30","45",113,0.3539823,0.40384615,0.10576923,0.0619469,0.22123894,100.25246883589763,"sa3019997"
"Henry Bolte","OAK","RF","CPX","19.1972222",,32,"","","","","35+",39,0.33333333,0.21212121,0,0.12820513,0.48717949,69.81152752493975,"sa3020006"
"Tanner Schobel","MIN","SS","A","21.3638888",,19,"30 / 50","30 / 40","40 / 45","60 / 60","40",136,0.35294118,0.29824561,0.0614035,0.13970588,0.19117647,96.69980723176984,"sa3020009"
"Chase Meidroth","BOS","LF","A","21.2277777",,45,"","","","","35+",96,0.4375,0.53947368,0.22368421,0.14583333,0.11458333,167.75239298865293,"sa3020011"
"Logan Tanner","CIN","C","A","21.9305555",,30,"30 / 45","35 / 55","55 / 60","30 / 30","40",73,0.32876712,0.3,0.1,0.16438356,0.30136986,88.91989921348335,"sa3020117"
"Trey Faltine","CIN","SS","A","21.7694444",,47,"","","","","35+",81,0.40740741,0.39344262,0.14754098,0.18518519,0.2962963,135.82489510421573,"sa3020118"
"Chase Estep","NYM","2B","A","22.5083333",,33,"30 / 40","35 / 50","55 / 60","40 / 40","35+",103,0.33009709,0.40229885,0.18390805,0.13592233,0.23300971,111.01137351343871,"sa3020120"
"Ryan Clifford","HOU","LF","A","19.2361111",,7,"25 / 55","25 / 60","50 / 60","40 / 30","40+",101,0.42574257,0.38961039,0.14285714,0.21782178,0.30693069,138.90145691225698,"sa3020126"
"Sal Stewart","CIN","3B","CPX","18.8555555",,23,"25 / 55","25 / 55","55 / 60","40 / 30","40",28,0.39285714,0.45833333,0.16666666,0.14285714,0.17857143,135.39637740604218,"sa3020130"
"Cam Collier","CIN","3B","CPX","17.9027777",,5,"20 / 50","20 / 55","55 / 60","40 / 40","45+",35,0.51428571,0.62962963,0.25925926,0.2,0.17142857,203.12444127934893,"sa3020131"
"Tucker Toman","TOR","2B","CPX","18.925",,10,"20 / 40","25 / 55","50 / 60","50 / 50","40+",46,0.39130435,0.36842105,0.07894737,0.15217391,0.26086957,119.17456063950468,"sa3020132"
"Jett Williams","NYM","CF","CPX","18.95",,7,"25 / 60","20 / 45","40 / 45","70 / 70","45",41,0.36585366,0.4375,0.1875,0.09756098,0.14634146,121.76912219042934,"sa3020134"
"Christopher Paciolla","CHC","3B","CPX","18.5805555",,34,"20 / 50","20 / 50","40 / 50","45 / 40","40",25,0.28,0.28571429,0.14285715,0.08,0.28,66.33263325200869,"sa3020138"
"Brock Jones","TBR","RF","A","21.5472222",,39,"","","","","35+",86,0.40697674,0.52941176,0.26470588,0.19767442,0.31395349,155.7023741012321,"sa3020190"
"Tim Borden II","HOU","2B","A+","23.1222222",,36,"","","","","35+",102,0.40196078,0.52380952,0.23809523,0.10784314,0.3627451,153.12045165943988,"sa3020193"
"Dominic Keegan","TBR","1B","A","22.2055555",,58,"","","","","35+",46,0.41304348,0.575,0.25,0.10869565,0.2173913,168.93635621430585,"sa3020194"
"Cade Doughty","TOR","3B","A","21.5527777",,9,"30 / 45","35 / 55","50 / 55","45 / 45","40+",119,0.3697479,0.49514563,0.22330097,0.08403361,0.24369748,147.14799489094287,"sa3020196"
"Cade Hunter","CIN","C","A","21.8777777",,14,"30 / 40","35 / 50","55 / 60","40 / 40","40+",49,0.44897959,0.68292683,0.34146342,0.14285714,0.2244898,204.4442985184075,"sa3020199"
"Kamren James","TBR","3B","CPX","22.3888888",,37,"30 / 45","30 / 45","45 / 50","45 / 45","40",25,0.28,0.2,0,0.08,0.24,45.80937270285517,"sa3020201"
"Josh Kasevich","TOR","3B","A","21.7444444",,6,"35 / 70","30 / 35","40 / 40","40 / 40","45",122,0.3442623,0.3364486,0.07476636,0.09016393,0.07377049,100.27077919391398,"sa3020203"
"Ryan Cermak","TBR","RF","CPX","21.3694444",,38,"","","","","35+",24,0.33333333,0.63636364,0.36363637,0.04166667,0.375,154.84540831531243,"sa3020204"
"Elijah Green","WSN","CF","CPX","18.8638888",,7,"20 / 40","25 / 60","70 / 80","70 / 70","45+",52,0.40384615,0.53488372,0.23255814,0.11538462,0.40384615,155.61399503285037,"sa3020210"
"Roman Anthony","BOS","RF","A","18.4222222",,30,"","","","","35+",83,0.37349398,0.36111111,0.05555555,0.10843373,0.09638554,109.43406929270625,"sa3020211"
"Alan Roden","TOR","1B","A","22.8138888",,27,"","","","","35+",115,0.37391304,0.31111111,0.07777778,0.14782609,0.11304348,105.32006900167997,"sa3020212"
"Termarr Johnson","PIT","2B","A","18.3444444",27,1,"25 / 60","25 / 55","55 / 60","50 / 40","55",82,0.36585366,0.36507937,0.14285715,0.19512195,0.25609756,113.51557139340792,"sa3020214"
"Trey Lipscomb","WSN","3B","A","22.3361111",,20,"","","","","40",101,0.32673267,0.39175258,0.09278351,0.03960396,0.18811881,99.91629943891263,"sa3020215"
"Mikey Romero","BOS","2B","A","18.7583333",,8,"25 / 60","20 / 45","40 / 50","50 / 45","45",87,0.36781609,0.50632911,0.20253164,0.09195402,0.17241379,138.83125320510007,"sa3020216"
"Brenner Cox","WSN","LF","CPX","18.4277777",,28,"","","","","35+",42,0.36585366,0.4,0.11428571,0.11904762,0.33333333,115.65240577350211,"sa3020217"
"Chandler Simpson","TBR","2B","CPX","21.9083333",,36,"35 / 60","20 / 30","30 / 30","80 / 80","40",34,0.47058824,0.48148148,0.11111111,0.17647059,0.11764706,166.54335896978967,"sa3020219"
"Dylan O'Rae","MIL","2B","CPX","18.6694444",,25,"","","","","35+",33,0.42424242,0.30769231,0,0.18181818,0.21212121,117.45937128518638,"sa3020220"
"Justin Crawford","PHI","CF","A","18.7555555",,4,"25 / 55","20 / 45","40 / 55","70 / 70","45+",66,0.33333333,0.27586207,0.03448276,0.10606061,0.22727273,81.05573519960653,"sa3020240"
"Jackson Holliday","BAL","SS","A","18.8638888",17,3,"25 / 60","25 / 60","50 / 60","50 / 50","55",90,0.48888889,0.421875,0.125,0.27777778,0.13333333,162.53761797338322,"sa3020241"
"Jared McKenzie","WSN","CF","A","21.4138888",,34,"35 / 55","30 / 45","40 / 45","55 / 55","35+",73,0.42465753,0.61428571,0.21428571,0.01369863,0.26027397,183.48831712162493,"sa3020273"
"Cutter Coffey","BOS","SS","CPX","18.4",,29,"","","","","35+",40,0.3,0.15625,0.03125,0.175,0.275,53.21674857665821,"sa3020280"
"Max Wagner","BAL","3B","A+","21.1555555",,22,"30 / 45","35 / 50","50 / 55","50 / 50","40",85,0.35294118,0.38571429,0.14285715,0.10588235,0.21176471,107.62022471810137,"sa3020415"
"Jacob Reimer","NYM","3B","CPX","18.6472222",,29,"","","","","35+",29,0.4137931,0.47826087,0.2173913,0.20689655,0.10344828,149.1183838237959,"sa3020416"
"Cole Young","SEA","SS","A","19.2277777",,2,"25 / 60","20 / 40","40 / 45","40 / 40","45",71,0.42253521,0.51666667,0.15,0.11267606,0.11267606,143.68550281856122,"sa3020459"
"Xavier Isaac","TBR","1B","CPX","18.8277777",,49,"","","","","35+",21,0.28571429,0.36842105,0.15789473,0.0952381,0.14285714,83.26208712299817,"sa3020498"
"Carter Young","BAL","SS","A","21.4805555",,30,"30 / 35","35 / 50","45 / 50","55 / 55","40",86,0.30232558,0.37974684,0.12658228,0.06976744,0.19767442,88.71732094001138,"sa3020534"
"Kevin Parada","NYM","LF","A","21.2",86,5,"35 / 55","35 / 60","60 / 60","45 / 40","50",55,0.45454545,0.425,0.15,0.21818182,0.23636364,158.3004280702044,"sa3020575"
"Joe Lampe","CLE","CF","A","21.8611111",,35,"30 / 50","30 / 40","45 / 50","70 / 70","40",11,0.18181818,0.1,0,0.09090909,0.54545455,-10.002785174041966,"sa3020642"
"Alex Freeland","LAD","3B","A","21.1416666",,44,"","","","","35+",36,0.38888889,0.625,0.3125,0.05555556,0.30555556,151.8892109379933,"sa3020653"
"Brett Sullivan","SDP","C","AAA","28.6472222",,16,"55 / 55","30 / 30","35 / 35","30 / 30","35+",475,0.33894737,0.44418052,0.15914489,0.08,0.12210526,91.61010946903176,"sa857232"
"Ryan Noda","LAD","1B","AAA","26.5416666",,35,"45 / 45","50 / 50","55 / 55","30 / 30","40",574,0.39547038,0.47413793,0.21551724,0.16027875,0.28222997,120.11434383909067,"sa873960"
"Moises Gomez","STL","RF","AAA","24.1333333",,25,"30 / 35","45 / 50","60 / 60","40 / 40","35+",501,0.37125749,0.62443439,0.33031674,0.10379242,0.34730539,149.06996361337508,"sa875163"
"Griffin Conine","MIA","RF","AA","25.2611111",,19,"20 / 20","50 / 60","80 / 80","45 / 40","40",496,0.33669355,0.43478261,0.21980676,0.14919355,0.36895161,102.78398541979905,"sa876060"
"Ronaldo Hernandez","BOS","C","AAA","24.9277777",,9,"30 / 35","40 / 45","60 / 60","30 / 30","45",439,0.29748284,0.45121951,0.1902439,0.04783599,0.2095672,93.41593146297978,"sa881850"
"Ricardo Genoves","SFG","C","AAA","23.4194444",,26,"30 / 40","30 / 45","55 / 60","20 / 20","40",350,0.3,0.36334405,0.14790997,0.09428571,0.27714286,76.49506915887004,"sa916844"
"Harvin Mendoza","CHW","1B","-1","23.6583333",,17,"35 / 55","30 / 45","55 / 55","30 / 30","40",410,0.27317073,0.29752066,0.11570248,0.09512195,0.20243902,58.760248353118975,"sa916997"
"Enmanuel Valdez","BOS","2B","AAA","23.7972222",,24,"50 / 50","50 / 50","50 / 50","30 / 30","40",573,0.37587413,0.542,0.246,0.11169284,0.21640489,130.778080090467,"sa917288"
"Lolo Sanchez","PIT","CF","AA","23.4777777",,57,"50 / 55","20 / 45","30 / 45","60 / 60","35+",274,0.33579336,0.3173913,0.09130434,0.12773723,0.16423358,87.94922841054797,"sa917767"
"Samad Taylor","KCR","2B","AAA","24.2611111",,17,"30 / 40","35 / 40","30 / 30","60 / 60","40",280,0.33691756,0.42622951,0.16803279,0.1,0.22142857,101.40924134147913,"sa918192"
"Logan Davidson","OAK","SS","AA","24.8305555",,30,"30 / 35","30 / 40","55 / 55","50 / 50","40",484,0.33677686,0.40566038,0.15330189,0.10950413,0.2768595,91.40204996601634,"sa918676"
"Chavez Young","TOR","CF","AAA","25.2694444",,38,"30 / 45","30 / 45","50 / 50","55 / 55","35+",268,0.33208955,0.35775862,0.12068965,0.11567164,0.23507463,88.99447649023323,"sa918963"
"Matt Fraizer","PIT","CF","AA","24.7583333",,7,"40 / 50","40 / 50","50 / 50","55 / 55","45+",480,0.28392484,0.33257403,0.11389521,0.07291667,0.2375,69.33673655639933,"sa918983"
"Jhailyn Ortiz","PHI","RF","AA","23.9083333",,19,"30 / 40","35 / 60","70 / 70","40 / 30","40",505,0.31881188,0.41517857,0.17857143,0.08514851,0.32673267,100.74923062055055,"sa920180"
