Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Ben Brown","CHC","MIRP","AA","22.9083333",,25,"55 / 55","","60 / 60","","30 / 45","40",16,0.24285714,0.11428571,0.46511628,6.1875,5.056333082541824,"sa3005122"
"Freddy Tarnok","ATL","SP","AAA","23.7",,11,"55 / 60","40 / 45","50 / 50","45 / 55","45 / 50","40",73.1,0.36454849,0.09364548,0.33974359,3.4363637853259945,3.5554951164280717,"sa3005175"
"Francis Peguero","MIN","SIRP","AA","24.9861111",,35,"55 / 55","55 / 55","","","40 / 45","35+",32.2,0.25714286,0.05,0.35227273,4.959182901315042,3.955127485340911,"sa3005209"
"Cam Robinson","MIL","SIRP","AA","22.9166666",,37,"55 / 55","","50 / 50","","30 / 35","35+",49.2,0.27312775,0.13215859,0.5703125,3.0805367155819634,3.9984626748113117,"sa3005216"
"Joey Cantillo","CLE","SP","AA","22.6333333",,44,"40 / 40","","40 / 45","55 / 60","40 / 55","35+",13,0.32758621,0.18965517,0.42857143,2.769230769230769,4.616182960455234,"sa3005246"
"DL Hall","BAL","SP","AAA","23.8805555",22,4,"70 / 70","","55 / 60","55 / 60","30 / 40","55",31.2,0.4375,0.125,0.60377358,3.126315475632971,2.3284480403393775,"sa3005282"
"Aldo Ramirez","WSN","SP","CPX","21.25",,16,"45 / 50","45 / 50","","45 / 55","35 / 50","40",38.2,0.21212121,0.07272727,0.53097345,3.258620421753224,3.9948327936732486,"sa3005371"
"Jhosmer Alvarez","ARI","SIRP","A","21.1027777",,31,"55 / 60","","40 / 40","","30 / 35","35+",10,0.46153846,0.12820513,0.57142857,0,2.9759787842631344,"sa3005437"
"Carlos De Los Santos","LAD","SIRP","A","21.7166666",,48,"60 / 60","55 / 60","","","20 / 30","35+",42.2,0.27777778,0.14141414,0.44247788,5.695311821065924,5.036448838737206,"sa3005448"
"Junior Santos","NYM","SIRP","A+","20.9722222",,29,"60 / 60","45 / 50","","40 / 45","30 / 40","35+",96,0.18414918,0.08857809,0.49134948,4.59375,4.801167406576376,"sa3005470"
"Yeury Tatiz","SEA","SIRP","A","21.7055555",,26,"50 / 55","50 / 55","","30 / 40","30 / 40","35+",39,0.25568182,0.125,0.45,3.923076923076923,5.475156241196853,"sa3005812"
"Jorge Juan","OAK","SP","A+","23.4166666",,28,"60 / 65","55 / 60","","40 / 45","30 / 50","40",26.2,0.3539823,0.11504425,0.32758621,5.399999356269913,4.157235981762479,"sa3005826"
"Ronny Henriquez","MIN","SP","AAA","22.1277777",,8,"55 / 55","50 / 55","","55 / 55","45 / 55","45",93.2,0.27131783,0.06459948,0.4244898,4.708185564706124,4.134129708127714,"sa3005835"
"Justin Martinez","ARI","MIRP","A+","21.0166666",,41,"55 / 65","45 / 50","","40 / 50","30 / 40","35+",23,0.22429907,0.14018692,0.58730159,6.6521739130434785,5.052537245206211,"sa3005864"
"Kelvin Caceres","LAA","SIRP","A","22.5277777",,44,"70 / 70","","40 / 60","","20 / 30","35+",48,0.26970954,0.19917012,0.38383838,6.1875,6.21190665694467,"sa3005876"
"Freddy Pacheco","STL","SIRP","AAA","24.3027777",,16,"70 / 70","55 / 60","","","30 / 40","40",54,0.43981481,0.13425926,0.36666667,3.6666666666666665,3.071935508395929,"sa3006164"
"Ivan Armstrong","LAA","MIRP","A+","22.025",,48,"55 / 60","50 / 55","","","35 / 40","35+",57.1,0.25210084,0.09243697,0.53691275,3.2965119203533724,4.193654682684068,"sa3006358"
"Randy Rodriguez","SFG","SIRP","AAA","22.9194444",,28,"60 / 60","60 / 60","","40 / 45","40 / 40","40",62,0.39147287,0.08914729,0.37301587,1.7419354838709677,3.5284182860966653,"sa3006366"
"Jose A. Ferrer","WSN","SIRP","A+","22.425",,35,"55 / 55","45 / 50","","50 / 55","35 / 55","35+",35.2,0.30718954,0.05882353,0.55263158,2.7757005387492617,3.346324730261397,"sa3006373"
"Victor Munoz","TBR","SP","A+","21.6138888",,46,"45 / 50","","45 / 50","45 / 50","35 / 50","35+",42,0.27810651,0.04142012,0.48076923,2.142857240170853,3.269510837760624,"sa3006381"
"Jose Cruz","SFG","SIRP","A","22.2166666",,47,"55 / 60","","","50 / 60","30 / 40","35+",24.1,0.39252336,0.08411215,0.62745098,4.438356744211895,3.0561326431830853,"sa3006383"
"Joseph Hernandez","SEA","SP","A","22.1416666",,14,"45 / 50","60 / 70","","45 / 50","30 / 45","40",35,0.33757962,0.12101911,0.31168831,5.4,4.727886714254108,"sa3006385"
"Carlos Duran","LAD","SIRP","A+","21.0166666",,18,"60 / 60","60 / 70","","40 / 45","30 / 40","40+",81,0.3042328,0.07936508,0.46046512,5.555556471292362,3.9071964365079257,"sa3006404"
"Inohan Paniagua","STL","SP","A+","22.5",,20,"35 / 40","","55 / 60","40 / 50","35 / 60","40",46.1,0.31472081,0.0964467,0.42574257,3.8848925127968013,3.642955825374572,"sa3006417"
"Jose Salvador","LAA","SIRP","A+","22.875",,45,"45 / 55","","50 / 50","30 / 35","35 / 40","35+",96,0.27186761,0.11111111,0.38645418,5.90625,4.895723810854058,"sa3006482"
"Eddy Yean","PIT","SP","A+","21.1138888",,56,"50 / 60","50 / 55","","45 / 50","25 / 50","35+",66.2,0.23310811,0.13175676,0.52571429,5.265000803375367,4.7054886570305134,"sa3006543"
