Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Ivan Castillo","KCR","2B","AAA","27.1833333",,47,"55 / 55","30 / 30","40 / 40","50 / 50","35+",435,0.32643678,0.36633663,0.07920792,0.05977011,0.17471264,73.17343780554936,"15971"
"Jose Herrera","ARI","C","AAA","25.45",,33,"50 / 50","30 / 30","40 / 40","20 / 20","35+",360,0.36388889,0.42156863,0.1633987,0.14166667,0.225,104.96679091800834,"17040"
"Ali Sanchez","DET","C","AAA","25.5444444",,24,"35 / 40","30 / 30","40 / 40","30 / 30","40",270,0.32222222,0.3625498,0.0876494,0.06666667,0.17407407,85.47429676710027,"18551"
"Yohel Pozo","TEX","C","AAA","25.1444444",,34,"55 / 55","30 / 30","50 / 50","20 / 20","35+",324,0.35185185,0.62222222,0.28571428,0.02160494,0.12962963,133.29490242038557,"18848"
"Lucius Fox","WSN","SS","AAA","25.0944444",,37,"40 / 40","30 / 30","40 / 40","70 / 70","35+",270,0.35315985,0.37554585,0.13100437,0.13703704,0.24814815,100.88167262778857,"18899"
"Brian Serven","COL","C","MLB","27.2527777",,16,"40 / 45","40 / 40","45 / 45","30 / 30","40+",276,0.30797101,0.50396825,0.25396825,0.05797101,0.22101449,93.40060822342383,"19422"
"Cooper Hummel","ARI","RF","MLB","27.6888888",,24,"55 / 55","30 / 30","45 / 45","45 / 45","40",366,0.43169399,0.54607509,0.23549489,0.17213115,0.16666667,151.3023537301261,"19458"
"TJ Friedl","CIN","CF","AAA","26.9777777",,40,"50 / 50","30 / 30","40 / 40","70 / 70","40",448,0.35650224,0.42227979,0.15803109,0.09821429,0.14508929,110.76741579588956,"19522"
"Simon Muzziotti","PHI","CF","AAA","23.6083333",,18,"45 / 50","30 / 40","45 / 50","60 / 60","40",83,0.375,0.38028169,0.08450704,0.10843373,0.13253012,108.79808286842785,"19553"
"Otto Lopez","TOR","2B","AAA","23.8472222",,15,"55 / 60","20 / 30","40 / 45","60 / 60","40",508,0.37869822,0.4368071,0.12195122,0.08070866,0.17322835,122.83323583414416,"19608"
"Luis Barrera","OAK","CF","AAA","26.725",,34,"40 / 45","30 / 30","50 / 50","70 / 70","40",386,0.34805195,0.39296188,0.11730206,0.10103627,0.17357513,87.59228402791376,"19615"
"Rene Pinto","TBR","C","AAA","25.7611111",,17,"35 / 40","40 / 45","50 / 50","20 / 20","40+",382,0.32460733,0.5,0.2259887,0.05759162,0.29842932,120.9786029458993,"19859"
