Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Greg Deichmann","CHC","RF","AAA","27.1833333",,55,"35 / 40","45 / 50","70 / 70","45 / 45","35+",392,0.3877551,0.43465046,0.16109423,0.15561224,0.25,115.90268564810184,"19872"
"Connor Wong","BOS","C","AAA","26.2138888",,24,"30 / 35","40 / 45","50 / 50","50 / 50","40",208,0.28846154,0.44221106,0.18592965,0.04326923,0.27884615,91.28289699032158,"19896"
"Khalil Lee","NYM","RF","AAA","24.1111111",,18,"30 / 40","35 / 50","55 / 60","55 / 55","40",388,0.45103093,0.5,0.2260274,0.18298969,0.29639175,162.47714554197742,"19952"
"Mickey Moniak","LAA","CF","MLB","24.2305555",,20,"50 / 50","30 / 35","45 / 45","55 / 55","40",409,0.29901961,0.44657534,0.20821918,0.07579462,0.24694377,91.48056978054233,"19956"
"Colton Welker","COL","3B","AAA","24.825",,28,"55 / 60","35 / 40","50 / 50","30 / 30","40",139,0.34532374,0.48333333,0.225,0.10791367,0.22302158,107.6788497618964,"19961"
"Jared Oliva","PIT","CF","AAA","26.6916666",,34,"40 / 40","40 / 45","55 / 55","60 / 60","40",249,0.32128514,0.36444444,0.11555555,0.07630522,0.26907631,85.52994364674461,"19968"
"J.J. Matijevic","HOU","1B","AAA","26.7277777",,23,"40 / 40","50 / 55","60 / 60","40 / 40","35+",457,0.34135667,0.51243781,0.25870647,0.11597374,0.29540481,112.60332705532412,"20165"
"Miguel Vargas","LAD","3B","AAA","22.7194444",,9,"50 / 60","35 / 45","45 / 50","40 / 40","45",542,0.3800738,0.52587992,0.20703934,0.08302583,0.16420664,141.51647009137938,"20178"
"Mario Feliciano","MIL","C","MLB","23.7111111",,29,"45 / 45","35 / 40","50 / 55","30 / 30","35+",143,0.28671329,0.36153846,0.12307692,0.03496503,0.22377622,69.99578397774506,"20263"
"Stuart Fairchild","CIN","CF","AAA","26.3861111",,41,"40 / 45","35 / 45","50 / 50","55 / 55","40",188,0.38297872,0.5617284,0.2654321,0.11702128,0.21808511,130.57116687785228,"20321"
"Brewer Hicklen","KCR","LF","AAA","26.4916666",,34,"30 / 35","40 / 45","55 / 55","70 / 70","40",424,0.34597156,0.43370166,0.19060774,0.12264151,0.31132075,109.94909685498553,"20450"
"Nolan Jones","CLE","RF","MLB","24.2472222",89,4,"30 / 35","50 / 60","70 / 70","40 / 40","50",407,0.35626536,0.43108504,0.19354838,0.14496314,0.2997543,113.46999292384746,"20529"
"Elehuris Montero","COL","3B","MLB","23.9694444",,17,"30 / 50","35 / 50","55 / 60","30 / 30","40",500,0.36,0.52900232,0.25058005,0.106,0.22,132.41284857134107,"20543"
"Kody Clemens","DET","2B","MLB","26.225",,20,"30 / 35","40 / 50","60 / 60","40 / 40","40",424,0.30896226,0.45789474,0.2131579,0.08490566,0.23113208,100.87908853980974,"20572"
"Ivan Herrera","STL","C","AAA","22.1805555",48,2,"50 / 60","40 / 45","50 / 50","50 / 40","50",441,0.34240363,0.40326975,0.17438692,0.13605442,0.21768707,102.21601719595739,"20599"
"Alejo Lopez","CIN","2B","MLB","26.2527777",,52,"60 / 60","20 / 20","30 / 30","45 / 45","35+",409,0.400978,0.44662921,0.12640449,0.11002445,0.07823961,133.8459401416265,"21127"
"Mark Kolozsvary","CIN","C","AAA","26.9222222",,51,"30 / 35","35 / 40","45 / 45","40 / 40","35+",237,0.32911392,0.40196078,0.18137254,0.09704641,0.32067511,104.87626007543209,"21304"
"Nick Fortes","MIA","C","MLB","25.7361111",,13,"50 / 55","30 / 35","40 / 40","40 / 40","40+",378,0.33156499,0.36666667,0.12121212,0.08465608,0.14285714,94.69670687523536,"21538"
"Romy Gonzalez","CHW","SS","AAA","25.9166666",,6,"30 / 30","40 / 45","55 / 55","55 / 55","45",404,0.36386139,0.53221289,0.24929972,0.10643564,0.27722772,144.10768271669673,"21562"
"Esteury Ruiz","MIL","CF","AAA","23.475",,17,"30 / 35","40 / 40","50 / 50","70 / 70","40",353,0.32758621,0.41100324,0.1618123,0.07932011,0.20679887,98.40118537590251,"21780"
"Jonathan Aranda","TBR","2B","AAA","24.2027777",,15,"55 / 60","40 / 45","50 / 50","20 / 20","45",411,0.41849148,0.54310345,0.21264368,0.10218978,0.18491484,163.81449567716658,"21837"
"Nick Pratto","KCR","1B","MLB","23.8333333",39,1,"35 / 40","55 / 70","60 / 60","40 / 40","50",545,0.3853211,0.60224719,0.33707865,0.15229358,0.28807339,155.8120266507422,"22117"
"Payton Henry","MIA","C","AAA","25.1166666",,21,"30 / 35","40 / 45","60 / 60","30 / 30","40",276,0.35144928,0.39004149,0.12448132,0.0942029,0.27173913,105.57425560010829,"22164"
"Ryan Vilade","COL","LF","AAA","23.4666666",,45,"50 / 55","40 / 50","55 / 55","40 / 40","35+",518,0.33914729,0.41025641,0.12606838,0.07335907,0.17760618,86.68429851546537,"22165"
"Cal Mitchell","PIT","RF","AAA","23.4111111",,36,"45 / 50","35 / 40","45 / 50","40 / 40","40",440,0.32801822,0.42288557,0.1442786,0.05454545,0.17045455,103.82389928846098,"22169"
"Jeter Downs","BOS","2B","AAA","24.025",,39,"35 / 40","40 / 45","50 / 50","40 / 40","35+",405,0.27227723,0.33333333,0.14285714,0.09382716,0.32345679,62.32981109525815,"22202"
"Luis Campusano","SDP","C","AAA","23.8527777",27,1,"40 / 45","40 / 50","55 / 60","40 / 40","55",326,0.36503067,0.54109589,0.24657534,0.08282209,0.20245399,121.55926465967943,"22217"
"Joe Perez","HOU","3B","AA","22.9833333",,10,"30 / 40","45 / 55","60 / 60","40 / 40","40+",475,0.35368421,0.49534884,0.20465117,0.09052632,0.24,124.8342352036971,"22254"
"Nick Allen","OAK","SS","MLB","23.8277777",,7,"45 / 50","20 / 30","30 / 30","60 / 60","45",380,0.34574468,0.40294118,0.11470589,0.07631579,0.2,97.42133747908558,"22277"
"Buddy Kennedy","ARI","3B","AAA","23.8361111",,29,"45 / 45","40 / 45","50 / 50","50 / 50","40",406,0.38423645,0.52298851,0.23275862,0.12315271,0.24137931,140.5994107965459,"22505"
"Heliot Ramos","SFG","RF","AAA","22.9138888",,8,"40 / 45","45 / 55","55 / 55","55 / 50","45",495,0.32323232,0.41648107,0.16258352,0.08484848,0.27878788,94.24822272259081,"22515"
"Tyler Freeman","CLE","2B","MLB","23.2083333",103,7,"50 / 70","20 / 30","40 / 45","55 / 50","50",180,0.37222222,0.4695122,0.14634147,0.04444444,0.11666667,130.16202438003793,"22532"
"Gabriel Arias","CLE","SS","AAA","22.4416666",,16,"30 / 35","40 / 50","55 / 60","45 / 45","45",483,0.34782609,0.45412844,0.16972477,0.08074534,0.22774327,114.77861514224175,"22563"
"Gabriel Moreno","TOR","C","AAA","22.4777777",2,1,"55 / 60","40 / 45","50 / 50","50 / 50","60",159,0.43396226,0.62589928,0.25899281,0.08805031,0.1572327,184.26030890822113,"22664"
"Maikel Garcia","KCR","SS","AAA","22.425",,8,"45 / 55","30 / 30","30 / 35","50 / 50","40+",480,0.37995825,0.40533981,0.11407767,0.12916667,0.15208333,118.57856976099792,"22715"
"Tucupita Marcano","PIT","2B","MLB","22.8888888",,58,"55 / 60","20 / 30","30 / 30","60 / 60","35+",412,0.34549878,0.35774648,0.10704225,0.12864078,0.14320388,86.66601036700523,"22871"
"Lenyn Sosa","CHW","2B","MLB","22.5305555",,3,"45 / 55","30 / 40","40 / 45","40 / 30","45",474,0.30021142,0.40133038,0.1308204,0.03375527,0.22151899,88.17521948391634,"22896"
"Canaan Smith-Njigba","PIT","LF","MLB","23.2666666",,32,"30 / 45","35 / 45","60 / 60","45 / 45","40",289,0.38062284,0.37916667,0.12083334,0.16262976,0.25951557,115.17671933302474,"23264"
"Nelson Velazquez","CHC","RF","MLB","23.6111111",,11,"30 / 35","40 / 50","60 / 60","50 / 40","45",425,0.33254717,0.4961039,0.22597403,0.07058824,0.31058824,121.97874430453315,"23359"
"Ezequiel Duran","TEX","3B","MLB","23.2055555",62,4,"35 / 40","45 / 55","60 / 60","45 / 45","50",471,0.3418259,0.48557692,0.21875,0.08492569,0.27600849,117.84515692385638,"23733"
"Liover Peguero","PIT","SS","AA","21.6",83,3,"35 / 60","35 / 45","45 / 50","60 / 55","50",417,0.33171913,0.44385027,0.17379679,0.07913669,0.25179856,107.54639912488769,"24273"
"Terrin Vavra","BAL","2B","MLB","25.2333333",,12,"50 / 60","30 / 35","35 / 35","55 / 55","45",218,0.40552995,0.4494382,0.1741573,0.1559633,0.22018349,138.67614765711224,"24400"
"Travis Swaggerty","PIT","CF","AAA","24.9638888",,12,"40 / 50","30 / 50","60 / 60","65 / 65","45",48,0.33333333,0.43902439,0.21951219,0.125,0.16666667,108.48368166249482,"24491"
"Jonah Bride","OAK","C","MLB","26.6083333",,15,"60 / 60","35 / 35","40 / 40","40 / 40","40+",334,0.40718563,0.42424242,0.1590909,0.17065868,0.17065868,130.21983490058912,"24703"
"Bryan Lavastida","CLE","C","AA","23.6916666",,9,"35 / 45","35 / 45","50 / 50","40 / 40","45+",338,0.37982196,0.45644599,0.16724738,0.1183432,0.20118343,128.60967213607972,"24765"
"James Outman","LAD","CF","AAA","25.2277777",,25,"30 / 40","40 / 50","55 / 55","60 / 60","40",491,0.37881874,0.49033816,0.22463768,0.12830957,0.28309572,136.15379381896815,"24770"
"David Villar","SFG","3B","AAA","25.525",,33,"40 / 40","50 / 50","55 / 55","30 / 30","40",446,0.37443946,0.50649351,0.23116883,0.10313901,0.25112108,140.8495143582726,"24782"
"Nate Eaton","KCR","3B","MLB","25.6222222",,40,"30 / 35","30 / 40","50 / 50","55 / 55","35+",322,0.35015773,0.36764706,0.125,0.12111801,0.23291925,103.52781113679,"25055"
"Michael Stefanic","LAA","2B","AAA","26.45",,32,"","","","","35+",554,0.40794224,0.49287169,0.15682281,0.09386282,0.13898917,131.6927767550383,"25353"
"Peyton Burdick","MIA","CF","MLB","25.4444444",,9,"30 / 40","40 / 60","70 / 70","55 / 55","45",491,0.36659878,0.4563591,0.2319202,0.16089613,0.29735234,130.52132165655385,"25459"
"Korey Lee","HOU","C","AAA","24.0305555",,4,"30 / 35","30 / 45","55 / 55","50 / 50","45",362,0.33977901,0.43768997,0.16109423,0.08563536,0.1878453,105.59331873280485,"25543"
"C.J. Abrams","WSN","2B","AAA","21.8416666",11,1,"50 / 70","30 / 50","45 / 55","80 / 80","60",183,0.36263736,0.41975309,0.12345679,0.08196721,0.19672131,111.85417144013603,"25768"
"Kyle Stowers","BAL","RF","AAA","24.5944444",,7,"35 / 40","45 / 55","55 / 55","50 / 50","45",530,0.38301887,0.51447661,0.23608017,0.13773585,0.32264151,141.11102290349174,"26151"
"JJ Bleday","MIA","RF","MLB","24.7388888",,19,"40 / 40","45 / 50","55 / 55","40 / 40","40",468,0.32264957,0.37279597,0.16120907,0.13675214,0.21581197,96.7440422367632,"26368"
"Josh H. Smith","TEX","SS","MLB","24.9972222",78,6,"55 / 60","35 / 40","40 / 40","55 / 55","50",351,0.42857143,0.53472222,0.22569444,0.12250712,0.17663818,160.14751172570084,"26396"
"Vinnie Pasquantino","KCR","1B","MLB","24.8222222",79,2,"55 / 60","45 / 55","50 / 50","20 / 20","50",513,0.39376218,0.56292906,0.26315789,0.12475634,0.12475634,153.53422283678927,"27676"
"Michael Massey","KCR","2B","MLB","24.3722222",,19,"35 / 55","45 / 40","45 / 50","50 / 50","40",439,0.35091743,0.53092784,0.24226805,0.07517084,0.15489749,135.4050430869561,"27684"
"Carter Bins","PIT","C","AAA","24.2361111",,47,"30 / 35","30 / 40","55 / 55","45 / 45","40",294,0.38435374,0.38723404,0.15319149,0.17687075,0.29251701,115.75061723468923,"sa1115884"
"Dominic Canzone","ARI","RF","AAA","24.9722222",,23,"40 / 45","40 / 45","55 / 55","30 / 30","40",339,0.37463127,0.52159468,0.2192691,0.09439528,0.20943953,137.76551730299238,"sa1115890"
"Rece Hinds","CIN","RF","A+","21.9194444",,17,"30 / 40","35 / 60","65 / 70","45 / 40","40+",226,0.33185841,0.54228856,0.28358209,0.07522124,0.28761062,126.1966326320908,"sa1169587"
"Matthew Lugo","BOS","SS","A+","21.2416666",,30,"30 / 45","30 / 40","40 / 50","55 / 55","40",469,0.33760684,0.36363636,0.09330143,0.08102345,0.20042644,95.1395057925084,"sa1169598"
"Tyler Callihan","CIN","2B","A+","22.1222222",,10,"35 / 55","30 / 50","55 / 55","30 / 30","45",99,0.35051546,0.43678161,0.13793104,0.08080808,0.13131313,113.18512596741152,"sa1169610"
"Ivan Johnson","CIN","2B","AA","23.8194444",,36,"30 / 40","30 / 45","50 / 55","60 / 60","40",330,0.36666667,0.45070423,0.18661972,0.12424242,0.3030303,125.0286731148499,"sa1169627"
"Eric Yang","CIN","C","AAA","24.3611111",,58,"35 / 55","30 / 30","35 / 40","30 / 30","35+",281,0.34642857,0.29955947,0.0969163,0.13523132,0.23131673,90.75617050237538,"sa1169769"
"Ryan Ward","LAD","LF","AA","24.4527777",,42,"45 / 50","40 / 45","45 / 45","40 / 40","35+",495,0.35222672,0.523918,0.24601367,0.09494949,0.23838384,134.96510929422593,"sa1169792"
"Brett Wisely","TBR","2B","AA","23.2444444",,44,"35 / 55","30 / 40","40 / 40","40 / 40","35+",440,0.37585421,0.50259067,0.20207254,0.10909091,0.22272727,135.43181161759907,"sa1170003"
"Cade Marlowe","SEA","CF","AA","25.1166666",,21,"35 / 40","40 / 45","50 / 50","55 / 55","35+",489,0.36809816,0.56635071,0.29146919,0.12474438,0.26993865,140.47990673856705,"sa1170288"
"Bryce Ball","CHC","1B","AA","24.0777777",,27,"30 / 45","35 / 60","70 / 70","40 / 40","40",439,0.35079727,0.38700565,0.18079096,0.18223235,0.27562642,106.28165170317169,"sa1170451"
"Chandler Redmond","STL","1B","AA","25.575",,28,"20 / 20","50 / 55","70 / 70","30 / 30","35+",396,0.35353535,0.47383721,0.21511628,0.11616162,0.34848485,123.25040328615252,"sa1170749"
"Jose Curpa","ARI","SS","CPX","22.4083333",,43,"30 / 45","30 / 35","30 / 30","70 / 70","35+",156,0.32903226,0.25,0.08870968,0.17948718,0.25641026,70.75417813872748,"sa3002703"
"Jordan Diaz","OAK","3B","AA","21.9805555",,16,"35 / 60","30 / 40","45 / 50","30 / 30","40+",365,0.3369863,0.48348348,0.19519519,0.06849315,0.15890411,120.68445041202978,"sa3003221"
"Johan Lopez","TBR","2B","A+","22.0222222",,60,"30 / 40","30 / 40","40 / 45","50 / 50","35+",325,0.36842105,0.41221374,0.17175572,0.13538462,0.27384615,116.03395100864786,"sa3003228"
"Diego Infante","TBR","RF","AA","22.7888888",,34,"30 / 40","35 / 55","60 / 60","45 / 40","40",459,0.39869281,0.51150895,0.20460358,0.12418301,0.25708061,143.7634324921275,"sa3003280"
"Oswald Peraza","NYY","SS","AAA","22.1416666",33,2,"50 / 55","40 / 50","50 / 50","60 / 60","50",511,0.35616438,0.47741935,0.18064516,0.07240705,0.21722114,125.80161091008402,"sa3003305"
"Alexander Canario","CHC","RF","AA","22.2472222",,14,"30 / 40","35 / 60","55 / 60","50 / 45","45",456,0.3004386,0.43137255,0.20098039,0.09429825,0.27412281,91.88171323889956,"sa3003316"
"Wenceel Perez","DET","SS","AA","22.7666666",,22,"35 / 55","30 / 30","40 / 40","60 / 60","40",476,0.32908705,0.36018957,0.1042654,0.09033613,0.17857143,91.97643741956985,"sa3003326"
"Sebastian Espino","TOR","3B","AA","22.1861111",,30,"30 / 40","35 / 50","50 / 55","45 / 45","35+",274,0.35661765,0.50207469,0.20746888,0.08394161,0.2810219,125.48778141973082,"sa3003347"
"Yainer Diaz","HOU","C","AAA","23.875",,3,"40 / 45","40 / 50","60 / 60","20 / 20","45",412,0.36165049,0.52741514,0.20365535,0.05582524,0.15291262,135.93579731661723,"sa3003386"
"Blake Hunt","TBR","C","AA","23.7388888",,19,"20 / 30","35 / 40","55 / 60","40 / 30","40+",320,0.28840125,0.3745583,0.1696113,0.1,0.325,78.74915534014411,"sa3004153"
"Abrahan Gutierrez","PIT","C","A+","22.7666666",,33,"35 / 55","30 / 35","40 / 40","20 / 20","40",306,0.42810458,0.44081633,0.15102041,0.17320261,0.14379085,143.91032263908852,"sa3004263"
"Drew Waters","KCR","CF","AAA","23.6",,12,"30 / 35","40 / 45","55 / 55","60 / 60","40+",459,0.32897603,0.38118812,0.14108911,0.10239651,0.30936819,93.70771543877001,"sa3004378"
"Israel Pineda","WSN","C","AA","22.3416666",,28,"30 / 40","35 / 45","45 / 50","30 / 20","40",315,0.26031746,0.3890785,0.18088737,0.05714286,0.26349206,70.91372221564856,"sa3004385"
"Mark Vientos","NYM","1B","AAA","22.6527777",,8,"30 / 35","50 / 60","70 / 70","40 / 35","45",349,0.35243553,0.58064516,0.3,0.09455587,0.28653295,146.1572891465812,"sa3004720"
"Mason Martin","PIT","1B","AAA","23.1777777",,37,"30 / 35","45 / 55","70 / 70","40 / 40","40",498,0.31726908,0.48747153,0.24601367,0.07831325,0.34337349,113.786264304369,"sa3004885"
"Jacob Amaya","LAD","SS","AAA","23.925",,16,"45 / 50","30 / 30","40 / 40","55 / 55","45",476,0.30252101,0.34292566,0.12709832,0.1092437,0.21638655,74.94293861142444,"sa3005081"
"Wilyer Abreu","BOS","LF","AA","23.1166666",,38,"35 / 40","45 / 50","55 / 55","50 / 50","35+",331,0.36253776,0.49477352,0.22648084,0.11480363,0.29909366,129.132899598532,"sa3005082"
"Tyler Dearden","BOS","LF","AA","24.0833333",,53,"30 / 40","40 / 50","60 / 60","45 / 40","35+",418,0.36842105,0.52272727,0.26136363,0.13157895,0.27272727,135.27282292081745,"sa3005103"
"Carlos Rodriguez","MIL","LF","A+","21.6638888",,20,"45 / 60","20 / 30","30 / 40","70 / 70","40",382,0.33595801,0.34782609,0.08115942,0.09162304,0.19633508,92.85972016854767,"sa3005478"
"Jose Tena","CLE","SS","AA","21.3777777",,14,"40 / 45","30 / 45","45 / 50","45 / 45","45",447,0.3310962,0.46731235,0.18644068,0.06040268,0.26174497,115.20340727948653,"sa3005482"
"Miguel Hiraldo","TOR","3B","A+","21.9194444",,20,"30 / 50","30 / 50","50 / 55","50 / 40","40",453,0.33774834,0.38974359,0.14102564,0.11258278,0.24503311,100.4284255764117,"sa3005486"
"Allan Cerda","CIN","RF","AA","22.7",,5,"30 / 40","35 / 60","60 / 70","50 / 50","45+",363,0.36088154,0.52302632,0.27302632,0.11294766,0.2892562,135.89341771807037,"sa3005504"
"Gilberto Jimenez","BOS","CF","A+","22.0777777",,13,"35 / 55","30 / 35","45 / 50","70 / 70","45",408,0.34643735,0.40482574,0.09919571,0.04656863,0.21078431,104.52512451837623,"sa3005507"
"Jorbit Vivas","LAD","2B","A+","21.4083333",,8,"35 / 60","30 / 40","35 / 40","45 / 45","45",477,0.39622642,0.49636804,0.18401937,0.08385744,0.11530398,136.48163165440857,"sa3005511"
"Alexfri Planez","CLE","RF","A+","20.9694444",,48,"30 / 35","35 / 55","55 / 60","45 / 45","35+",413,0.29368932,0.46153846,0.1974359,0.031477,0.29297821,98.7397887278437,"sa3005515"
"Jorge Barrosa","ARI","CF","AA","21.4694444",,26,"35 / 60","20 / 30","30 / 35","55 / 55","40",435,0.35334873,0.42159383,0.13624679,0.06666667,0.1816092,108.76948773193563,"sa3005524"
"Luis Toribio","SFG","3B","A+","21.8555555",,17,"30 / 50","30 / 55","55 / 60","40 / 30","40+",408,0.35135135,0.35588235,0.12647059,0.15441176,0.27696078,94.6397977426493,"sa3005541"
"Neyfy Castillo","ARI","1B","A+","21.4277777",,30,"30 / 40","35 / 55","50 / 60","45 / 40","40",455,0.34725275,0.45287958,0.22251309,0.12747253,0.37362637,109.96941092804029,"sa3005544"
"Eddys Leonard","LAD","3B","A+","21.7388888",,31,"50 / 50","30 / 35","40 / 40","45 / 45","40",492,0.3902439,0.53882353,0.24235294,0.10365854,0.23577236,145.17490464250318,"sa3005554"
"Jhonkensy Noel","CLE","1B","AA","21.0583333",,20,"30 / 40","35 / 60","70 / 80","30 / 20","40+",290,0.38965517,0.61509434,0.2754717,0.05862069,0.2137931,161.2262330064316,"sa3005579"
"Ceddanne Rafaela","BOS","CF","AA","21.8833333",,6,"30 / 45","30 / 45","45 / 50","60 / 60","45",432,0.30465116,0.42385787,0.17258883,0.05787037,0.18287037,95.0209094058601,"sa3005581"
"Daniel Vellojin","CIN","C","AA","22.3916666",,8,"35 / 60","30 / 35","40 / 45","40 / 40","45",362,0.40055249,0.40282686,0.15547704,0.19889503,0.20165746,127.28483535241078,"sa3005587"
"Alberto Rodriguez","SEA","RF","A+","21.8333333",,11,"30 / 40","35 / 55","55 / 60","40 / 40","40",459,0.37908497,0.46954315,0.18020305,0.11546841,0.22222222,123.71755714002923,"sa3005603"
"Felix Valerio","MIL","2B","AA","21.6111111",,8,"35 / 70","30 / 40","30 / 30","45 / 45","45",511,0.40117417,0.46838407,0.17798594,0.13502935,0.13894325,139.51838487180083,"sa3005613"
"Ronaiker Palma","COL","C","A+","22.5944444",,35,"35 / 55","30 / 35","30 / 40","40 / 40","35+",92,0.27472527,0.25882353,0.02352941,0.0326087,0.06521739,45.594270994919896,"sa3005624"
"Andy Pages","LAD","CF","AA","21.6611111",74,4,"30 / 40","35 / 70","60 / 70","50 / 50","50",538,0.39405204,0.53881279,0.27397261,0.14312268,0.24535316,151.87661002831015,"sa3005625"
"Heriberto Hernandez","TBR","LF","A+","22.6388888",105,5,"35 / 55","35 / 55","55 / 60","30 / 30","50",320,0.38125,0.45275591,0.20078741,0.153125,0.28125,125.3886146880815,"sa3005630"
"Brandon Valenzuela","SDP","C","A+","21.8444444",,11,"30 / 45","30 / 40","45 / 45","30 / 30","40",443,0.39277652,0.42857143,0.12962963,0.13318284,0.22573363,122.22975267251623,"sa3005729"
"Yeison Santana","CHC","SS","A+","21.6638888",,48,"30 / 50","30 / 35","40 / 45","55 / 55","35+",189,0.31914894,0.28658537,0.06097561,0.10582011,0.27513228,71.17260056001226,"sa3005730"
"Junior Perez","OAK","RF","A","21.0888888",,44,"30 / 40","35 / 50","50 / 55","45 / 40","35+",386,0.31688312,0.35866261,0.15197568,0.13212435,0.37564767,82.21709755401928,"sa3005744"
"Johan Rojas","PHI","CF","AA","21.9777777",,3,"35 / 55","30 / 45","50 / 60","70 / 70","45+",429,0.32941176,0.41732283,0.15485564,0.07692308,0.17948718,102.18391500134621,"sa3005784"
"Jose Rodriguez","CHW","SS","AA","21.2305555",,4,"50 / 60","30 / 40","50 / 55","55 / 55","45",501,0.338,0.46908316,0.1684435,0.05189621,0.14371257,114.86014030710301,"sa3005788"
"Brayan Rocchio","CLE","SS","AA","21.5638888",37,2,"50 / 60","30 / 40","40 / 45","60 / 60","50",491,0.34623218,0.46031746,0.18367347,0.06720978,0.21588595,120.46970663052832,"sa3005898"
"Anthony Garcia","NYY","RF","A","21.9194444",,22,"30 / 40","35 / 60","70 / 80","50 / 40","40",153,0.44444444,0.67768595,0.37190083,0.20261438,0.32679739,187.04202144333382,"sa3005924"
"Brandol Mezquita","ATL","OF","A","21.0611111",,15,"30 / 40","35 / 50","45 / 50","50 / 50","40",171,0.40236686,0.45205479,0.14383561,0.11111111,0.29239766,131.9910115357637,"sa3006201"
"Madison Santos","NYY","CF","A","22.9166666",,33,"30 / 45","30 / 40","45 / 50","70 / 70","35+",142,0.42253521,0.52252252,0.24324324,0.1971831,0.24647887,150.94917202147573,"sa3006206"
"Osleivis Basabe","TBR","2B","AA","21.8972222",,21,"35 / 55","30 / 40","40 / 45","60 / 60","40+",327,0.34662577,0.3877551,0.10544217,0.08562691,0.13761468,102.06846785183265,"sa3006594"
"Orlando Martinez","LAA","LF","AAA","24.4694444",,21,"40 / 50","40 / 45","50 / 50","45 / 45","40",436,0.31264368,0.445,0.1875,0.06880734,0.27293578,107.29985022282386,"sa3006664"
"David Hensley","HOU","3B","AAA","26.3555555",,9,"50 / 55","40 / 45","50 / 50","40 / 40","40+",445,0.36853933,0.43939394,0.14646465,0.10337079,0.23370787,117.64893804278351,"sa3006733"
"David Fry","CLE","C","AAA","26.7111111",,50,"40 / 40","35 / 45","50 / 50","35 / 35","35+",359,0.34818942,0.44904459,0.19426752,0.10584958,0.24512535,121.60824529366991,"sa3006787"
"Brandon Lockridge","NYY","CF","AA","25.3944444",,36,"30 / 40","30 / 35","45 / 45","80 / 80","35+",327,0.35168196,0.49498328,0.19732442,0.06727829,0.25993884,128.19366969408262,"sa3006856"
"Kendall Simmons","PHI","SS","A+","22.3194444",,22,"30 / 35","35 / 55","55 / 65","55 / 50","35+",170,0.32941176,0.44897959,0.22448979,0.09411765,0.24117647,110.97537960693792,"sa3006867"
"George Valera","CLE","RF","AAA","21.7305555",94,6,"30 / 40","45 / 60","55 / 60","50 / 50","50",363,0.40495868,0.50526316,0.24561404,0.18181818,0.24242424,147.99901398735923,"sa3006872"
"Lawrence Butler","OAK","1B","A+","22.0722222",,17,"30 / 35","35 / 60","60 / 70","50 / 45","40+",450,0.36666667,0.5038961,0.23116883,0.13111111,0.32444444,126.31819305005985,"sa3006873"
